"";"country";"year";"party";"party_name_short";"party_eng";"vote_share";"seats";"rightwing";"radicalright";"leftwing";"valence"
"1";"Austria";2009;"Bündnis Zukunft Österreich";"BZÖ";"Alliance for the Future of Austria";4,6;0;1;1;0;0
"2";"Austria";2014;"Bündnis Zukunft Österreich";"BZÖ";"Alliance for the Future of Austria";0,5;0;1;1;0;0
"3";"Austria";1999;"Freiheitliche Partei Österreichs";"FPÖ";"Freedom Party of Austria";23,4;5;1;1;0;0
"4";"Austria";2004;"Freiheitliche Partei Österreichs";"FPÖ";"Freedom Party of Austria";6,3;1;1;1;0;0
"5";"Austria";2009;"Freiheitliche Partei Österreichs";"FPÖ";"Freedom Party of Austria";12,7;2;1;1;0;0
"6";"Austria";2014;"Freiheitliche Partei Österreichs";"FPÖ";"Freedom Party of Austria";19,7;4;1;1;0;0
"7";"Austria";2019;"Freiheitliche Partei Österreichs";"FPÖ";"Freedom Party of Austria";17,2;3;1;1;0;0
"8";"Austria";2004;"Liste Dr. Hans-Peter Martin";"Martin";"Hans-Peter Martin's List";14;2;0;0;0;1
"9";"Austria";2009;"Liste Dr. Hans-Peter Martin";"Martin";"Hans-Peter Martin's List";17,7;3;0;0;0;1
"10";"Belgium";2014;"Debout les Belges !";"DLB";"Belgium Arise";1,1;0;1;1;0;0
"11";"Belgium";1994;"Front National";"FN";"National Front";3;1;1;1;0;0
"12";"Belgium";1999;"Front National";"FN";"National Front";1,5;0;1;1;0;0
"13";"Belgium";2004;"Front National";"FN";"National Front";2,8;0;1;1;0;0
"14";"Belgium";2009;"Front National";"FN";"National Front";1,3;0;1;1;0;0
"15";"Belgium";2009;"Lijst Dedecker – Libertair, Direct, Democratisch";"LDD";"List Dedecker - Libertarian, Direct, Democratic";4,5;1;1;0;0;0
"16";"Belgium";2014;"Parti Populaire";"PP";"People's Party";2,2;0;1;0;0;0
"17";"Belgium";2019;"Parti Populaire";"PP";"People's Party";1,7;0;1;1;0;0
"18";"Belgium";1984;"Vlaams Blok / Vlaams Belang";"VB";"Flemish Block / Flemish Interest";1,3;0;1;1;0;0
"19";"Belgium";1989;"Vlaams Blok / Vlaams Belang";"VB";"Flemish Block / Flemish Interest";4,1;1;1;1;0;0
"20";"Belgium";1994;"Vlaams Blok / Vlaams Belang";"VB";"Flemish Block / Flemish Interest";7,8;2;1;1;0;0
"21";"Belgium";1999;"Vlaams Blok / Vlaams Belang";"VB";"Flemish Block / Flemish Interest";9,4;2;1;1;0;0
"22";"Belgium";2004;"Vlaams Blok / Vlaams Belang";"VB";"Flemish Block / Flemish Interest";14,3;3;1;1;0;0
"23";"Belgium";2009;"Vlaams Blok / Vlaams Belang";"VB";"Flemish Block / Flemish Interest";9,9;2;1;1;0;0
"24";"Belgium";2014;"Vlaams Blok / Vlaams Belang";"VB";"Flemish Block / Flemish Interest";4,3;1;1;1;0;0
"25";"Belgium";2019;"Vlaams Blok / Vlaams Belang";"VB";"Flemish Block / Flemish Interest";12,1;3;1;1;0;0
"26";"Bulgaria";2009;"Ataka";"Ataka";"Attack";12;2;1;1;0;0
"27";"Bulgaria";2014;"Ataka";"Ataka";"Attack";3;0;1;1;0;0
"28";"Bulgaria";2019;"Ataka";"Ataka";"Attack";1,1;0;1;1;0;0
"29";"Bulgaria";2019;"Balgarija bes Zensura / Prezaredi Balgariya";"BBZ/BBT";"Bulgaria without censorship / Reload Bulgaria";0,2;0;1;0;0;0
"30";"Bulgaria";2014;"Balgarija bes Zensura + VMRO + ZNS + Gergiovden";"BBZ/BBT + IMRO + et al.BND + et al.";"Bulgaria without censorship + IMRO + others";10,7;2;1;0;0;0
"31";"Bulgaria";2009;"Grazhdani za Evropeysko Razvitie na Balgariya";"GERB";"Citizens for European Development of Bulgaria";24,4;5;0;0;0;1
"32";"Bulgaria";2014;"Grazhdani za Evropeysko Razvitie na Balgariya";"GERB";"Citizens for European Development of Bulgaria";30,4;6;0;0;0;1
